cluster,names,scores,logfoldchanges,pvals,pvals_adj
16,ENSMUSG00000000531,8.364612,2.9950266,6.031311898805176e-17,1.1100144514178646e-14
16,ENSMUSG00000001175,8.358153,0.85852647,6.370771464974132e-17,1.1603180859182643e-14
16,ENSMUSG00000001739,8.296922,2.9158769,1.0684394632385097e-16,1.9063857487126168e-14
16,ENSMUSG00000019970,8.240692,1.7363847,1.7121718077031596e-16,2.994082234892475e-14
16,ENSMUSG00000047547,8.170659,1.2568374,3.0670971697212826e-16,5.2245866221828297e-14
16,ENSMUSG00000052534,8.11481,1.9901537,4.86547331262851e-16,8.182078379664993e-14
16,ENSMUSG00000001025,8.110694,1.8981798,5.033160426413765e-16,8.437115675309393e-14
16,ENSMUSG00000090019,8.101829,2.4816356,5.413915109624077e-16,9.017937838929523e-14
16,ENSMUSG00000003032,8.049715,2.0953493,8.298686706566784e-16,1.348178004589041e-13
16,ENSMUSG00000034994,7.909965,0.85709393,2.5746074170564715e-15,4.009379763437409e-13
16,ENSMUSG00000033082,7.9048996,2.8716202,2.6814973581588428e-15,4.1635190248981963e-13
16,ENSMUSG00000090958,7.8754554,2.7574706,3.395046002298711e-15,5.194815156307992e-13
16,ENSMUSG00000074457,7.8448076,1.0806688,4.336175124724173e-15,6.487332538386292e-13
17,ENSMUSG00000050299,11.277448,2.5786667,1.695949913432454e-29,8.926801964343064e-25
17,ENSMUSG00000049775,10.664163,3.9123626,1.4974168432520265e-26,3.9409016480706833e-22
17,ENSMUSG00000003429,10.149008,2.4753332,3.3474999173892156e-24,2.5171286521671248e-20
17,ENSMUSG00000030707,10.122074,9.0429945,4.409695109484499e-24,2.890018136493638e-20
17,ENSMUSG00000000682,10.092712,9.152902,5.9502125186806776e-24,3.131953861332762e-20
17,ENSMUSG00000040952,9.626788,2.1042159,6.162565947617044e-22,2.4491593742996067e-18
17,ENSMUSG00000006333,9.619282,1.9967986,6.629224525543689e-22,2.4491593742996067e-18
17,ENSMUSG00000040747,9.458897,7.226397,3.112106771021793e-21,9.10049177775017e-18
17,ENSMUSG00000024608,9.452273,1.7926592,3.3155029923837826e-21,9.184990289848041e-18
17,ENSMUSG00000083992,9.435716,2.3639433,3.883329995247347e-21,1.0220147881491968e-17
17,ENSMUSG00000057841,9.267714,2.202932,1.9017837574107143e-20,4.352273471959581e-17
17,ENSMUSG00000012848,8.9538965,1.779143,3.431508894862249e-19,7.525870924582056e-16
17,ENSMUSG00000022205,8.944624,2.947843,3.732172333108411e-19,7.857864917019773e-16
17,ENSMUSG00000105031,8.901906,2.1713698,5.489563047511908e-19,1.111340925264757e-15
17,ENSMUSG00000032399,8.812827,1.9226,1.2202816480597273e-18,2.3789164750841405e-15
17,ENSMUSG00000033220,8.760396,9.146233,1.945658227620674e-18,3.5314367747945446e-15
17,ENSMUSG00000045690,8.737878,1.9714512,2.375300985645652e-18,4.167544756014818e-15
17,ENSMUSG00000028581,8.680258,8.071343,3.9487134402018235e-18,6.495140019951974e-15
17,ENSMUSG00000030744,8.375272,1.5880735,5.5096758079524254e-17,6.904935614937711e-14
17,ENSMUSG00000076617,8.335423,11.516361,7.722141658985739e-17,9.032503296941631e-14
17,ENSMUSG00000110275,8.2518635,2.1657846,1.5594313854749983e-16,1.6751475593033064e-13
17,ENSMUSG00000090733,8.056929,3.1914585,7.82355165083721e-16,6.641942978926892e-13
17,ENSMUSG00000074129,8.050526,1.7787294,8.243888988621803e-16,6.88770382230313e-13
17,ENSMUSG00000089989,7.97094,1.8125695,1.5747153682961485e-15,1.2751802788559396e-12
17,ENSMUSG00000020275,7.9118857,5.747829,2.5351911405055635e-15,1.906318869595012e-12
17,ENSMUSG00000018819,7.7522726,5.224669,9.02623492562025e-15,6.17019352655776e-12
17,ENSMUSG00000038274,7.581621,2.2423074,3.41263200833531e-14,1.952470634681928e-11
17,ENSMUSG00000036594,7.5311766,7.28212,5.0285165050352284e-14,2.728670049062209e-11
17,ENSMUSG00000024610,7.375758,8.028125,1.6341267776322984e-13,7.819445187950332e-11
17,ENSMUSG00000061848,7.240319,1.9359288,4.476318360686562e-13,1.9799621280092262e-10
17,ENSMUSG00000026094,7.213275,5.520334,5.462197713321785e-13,2.3000659107072437e-10
17,ENSMUSG00000084796,7.200581,11.393682,5.995655598858093e-13,2.5046613341388455e-10
17,ENSMUSG00000020077,7.174862,3.3041615,7.238025667755501e-13,2.953338907348671e-10
17,ENSMUSG00000018293,7.052558,1.4716413,1.7565813388369088e-12,6.42079273270969e-10
17,ENSMUSG00000035697,6.892393,5.982416,5.4861546472027396e-12,1.729157101857266e-09
17,ENSMUSG00000007892,6.8385262,1.3171417,8.001193808274035e-12,2.3929024846154095e-09
