,control,nephritis,delta_nephritis_minus_control
Foxl2,0.18473850977749154,0.3547888333647196,0.17005032358722807
Jun,0.1837229504990483,0.3428599095157119,0.15913695901666358
Foxm1,-0.20461836523501045,-0.0714858006349033,0.13313256460010714
Smad4,0.7314461173635811,0.8627560199802137,0.13130990261663256
Ets2,0.14034844220321857,0.26166373540865046,0.12131529320543188
Jund,0.6778892751185224,0.798955195105956,0.12106591998743366
Fos,0.6378822938869129,0.7582950605968419,0.12041276670992906
E2f3,-0.2470146410362099,-0.13028418311321024,0.11673045792299966
Tfdp1,-0.14879128211646345,-0.04116223239966568,0.10762904971679776
Klf6,0.5912864169574441,0.6960430620769597,0.10475664511951555
Myb,0.3973608011068081,0.498069065201858,0.1007082640950499
Klf4,0.8802127176573395,0.9731916574412207,0.09297893978388116
Sox2,0.27702161698660005,0.3661871025591247,0.08916548557252463
Twist1,0.31802571761675585,0.4071305120231524,0.08910479440639657
Usf1,0.09946304505254669,0.18675319740267832,0.08729015235013163
Usf2,-0.07996215820041551,-0.0010500453899313091,0.0789121128104842
Gli2,-0.3613887206713226,-0.28943869417126256,0.07195002650006005
Atf2,-0.007307867459015752,0.05786663613874429,0.06517450359776004
Srebf1,0.06849528336054808,0.10576045422988788,0.037265170869339795
Arnt,0.0845381940115692,0.10953276979995154,0.024994575788382337
Sox10,0.03155217009475798,0.055756143870773406,0.02420397377601543
Foxo1,0.04203660726106353,0.0650100647474351,0.022973457486371578
Foxo3,-0.1751418543075971,-0.1876792593114809,-0.012537405003883811
Rel,0.19677788310576588,0.18043387331494976,-0.016344009790816127
Sp1,0.7335109707064182,0.6886241321518506,-0.044886838554567654
Fosl1,0.40544367302339507,0.3552364569295481,-0.050207216093846985
Stat2,0.7061488158677021,0.6504972893384622,-0.05565152652923988
Sp3,-0.23956929699939827,-0.3028401476878606,-0.06327085068846233
Rela,0.18568179034875573,0.10240517857365922,-0.08327661177509652
Relb,0.08677026032082252,-0.004893376890368196,-0.09166363721119072
Pparg,0.6100982370648376,0.5182394503778911,-0.09185878668694647
Zfp263,0.29129622309292785,0.1908040082021825,-0.10049221489074536
Foxo4,0.3916418889509206,0.24725152428524644,-0.14439036466567418
Tfap2a,0.31118411975872456,0.16177288411511753,-0.14941123564360703
Cdx2,-0.09036206771767222,-0.2515181294996663,-0.16115606178199407
Runx1,-0.10389662234790452,-0.26633667711568926,-0.16244005476778473
Stat4,0.004360518706942935,-0.15953784477122507,-0.163898363478168
Atf1,0.029742053140808005,-0.146971744258046,-0.17671379739885398
Nfkb1,0.35692338125603174,0.17235685802033013,-0.1845665232357016
Cebpd,0.4166780346801105,0.22934964944405137,-0.18732838523605913
Pax5,-0.26779299703338255,-0.4560735566737472,-0.18828055964036466
Gata1,-0.2904201497469385,-0.49708496895323656,-0.20666481920629803
Tbx21,-0.3796910472314192,-0.5876221055026821,-0.2079310582712629
Elk1,0.6970164824139597,0.4782234213633171,-0.21879306105064267
Zeb1,-0.2776370362048674,-0.5155675491254331,-0.23793051292056572
Irf1,0.23207277633520593,-0.007455784477679114,-0.23952856081288504
Etv4,-0.3635824826068376,-0.606442547593666,-0.24286006498682838
Tal1,0.4068882894385558,0.15786688239874425,-0.24902140703981157
Creb1,-0.2959940602104996,-0.5463692789375152,-0.25037521872701557
Stat5b,-0.2030544166811242,-0.47837453034849736,-0.2753201136673732
Stat5a,-0.12225681307766013,-0.40740921195168733,-0.2851523988740272
Ctcf,0.06259264859254125,-0.2491190939792439,-0.31171174257178513
Prdm14,0.7367647589655777,0.41693291499082785,-0.31983184397474984
Wt1,-0.18645606082232277,-0.5099387953219942,-0.32348273449967135
Stat3,0.49146663438641547,0.16329235319569435,-0.3281742811907211
Nfkb2,0.23548791635602592,-0.12167946364916987,-0.35716738000519577
Gli1,0.5615028593452909,0.1756265437831871,-0.3858763155621038
Nr2f2,-0.16985647266176018,-0.5595483841130685,-0.3896919114513083
Stat6,0.15335798936805511,-0.2862012351566297,-0.4395592245246848
Trp53,1.3745639175350282,0.9262473632090097,-0.44831655432601847
