source,target,ligand_complex,receptor_complex,magnitude_rank_ctrl,magnitude_rank_neph,delta_rank_ctrl_minus_neph
PEC,TEC,Thbs1,Sdc4,0.4662780832533211,0.06683588872160466,0.3994421945317164
PEC,PEC,Apoe,Sorl1,1.0,0.604201706525291,0.39579829347470896
PEC,PEC,Spint1,St14,0.39351368955407395,6.069924972113485e-05,0.3934529903043528
SMC,PEC,Mdk,Sdc4,0.6358440583777986,0.2461769762187058,0.38966708215909274
PEC,TEC,Bst1,Cav1,0.4138812859338735,0.03356690740815129,0.38031437852572225
TEC,PEC,Jag1,Notch2,0.9594973124090205,0.5792334043880237,0.38026390802099674
PEC,END,Icam1,Cav1,0.696677802948356,0.3206223754423223,0.3760554275060337
PEC,MES,Apoe,Sdc2,1.0,0.6259007105107686,0.37409928948923143
SMC,PEC,Spp1,S1pr1,1.0,0.6326576137487868,0.3673423862512132
PEC,TEC,Cxcl10,Sdc4,0.7624640202199413,0.39756874742818155,0.36489527279175976
PEC,PEC,Cxcl10,Sdc4,0.5944388895968634,0.23638958234947005,0.35804930724739337
END,PEC,Hspg2,Lrp1,0.9181385358813737,0.560958102186568,0.3571804336948057
IMM,PEC,Fn1,Dpp4,0.964443160384971,0.6110579173895886,0.35338524299538243
IMM,PEC,Fn1,Plaur,0.8029181792967199,0.45054149204231153,0.3523766872544084
PEC,END,Plau,Plaur,0.48418330600546505,0.132651979191027,0.35153132681443805
SMC,PEC,Ptn,Sdc4,0.6236086971162773,0.2726569732855797,0.3509517238306976
PEC,TEC,Icam1,Cav1,1.0,0.6516818911197467,0.3483181088802533
PEC,IMM,Tgm2,Sdc4,0.8056123612578582,0.45763451756507934,0.34797784369277884
PEC,MES,Adm,Pth1r,1.0,0.6547606042587981,0.3452393957412019
PEC,PEC,Thbs1,Lrp1,0.9205378490642789,0.5756885077640495,0.3448493413002295
PEC,TEC,Ptn,Sdc2,1.0,0.6570760402892727,0.3429239597107273
TEC,PEC,Ptn,Sdc2,1.0,0.6578491936540021,0.3421508063459979
MES,PEC,Adm,Ramp3,0.7946766071989793,0.4532585381359915,0.3414180690629878
MES,PEC,Plau,Itgb5,0.864098651232129,0.5229097143837462,0.3411889368483828
PEC,MES,Jag1,Notch2,0.7249727106538315,0.39391771651095636,0.33105499414287515
PEC,IMM,Cxcl12,Sdc4,1.0,0.6695174038671483,0.3304825961328517
POD,PEC,Cxcl12,Dpp4,1.0,0.6753366203847778,0.3246633796152222
PEC,SMC,Thbs1,Itga4,0.9277608612098246,0.6033292203403574,0.3244316408694672
PEC,SMC,Cxcl10,Dpp4,0.9572186406608904,0.6332286636655239,0.32398997699536647
PEC,PEC,Ptn,Sdc2,1.0,0.6813229763822709,0.3186770236177291
PEC,SMC,Edn3,Ednrb,0.4636726150118289,0.1456467430648705,0.3180258719469584
SMC,PEC,Serpine2,Lrp1,0.9472067318031182,0.6319045203410133,0.3153022114621049
TEC,PEC,Thbs1,Sdc4,0.5422245788141645,0.2273670498523996,0.3148575289617649
PEC,PEC,Icam1,Cav1,0.8100146008128093,0.49873908295710045,0.31127551785570884
IMM,PEC,Thbs1,Lrp1,0.9014599762085509,0.5906747377945336,0.3107852384140173
PEC,SMC,Apoe,Sdc2,0.6730191263418942,0.3658620992742516,0.3071570270676426
PEC,MES,Edn1,Ednra,1.0,0.6988874492823194,0.3011125507176806
MES,PEC,Angptl4,Sdc4,0.3120000085830689,0.011778195573088426,0.3002218130099805
PEC,POD,Apoe,Sdc2,0.4235792575498706,0.12337818556385906,0.30020107198601154
PEC,PEC,Plau,Lrp1,0.8100146008128093,0.5123639453512971,0.29765065546151215
